sl_no,paper_id,title,Author(s),venue,year,abstract,keywords,source,url,retrieved_at,seed_query,region,notes
28,258184160,Inside the Studio: A Closer Look at Studio-Based Learning in Architecture Education,Chih Siong Wong,INTERNATIONAL JOURNAL OF SOCIAL SCIENCE AND EDUCATION RESEARCH STUDIES,2023,"The studio has emerged as a preeminent approach in architecture education, offering students a hands-on opportunity to cultivate and apply their design talents. This review paper provides a comprehensive overview of the studio in architecture education. The paper starts with a brief historical overview of architecture education, tracing the origins of studio-based learning. The curriculum content of architecture education is scrutinised, and the different types of courses offered are analysed. The paper subsequently investigates the dual nature of the studio, both as a pedagogical approach and a physical space, highlighting the different studio learning models that have arisen. The paper also explores the characteristics of the studio, including its interactive design teaching and learning environment, its distinct culture, and its role as a design life space. The studio users are considered, including the interaction between peers, instructors, and students. The paper highlights the pivotal role of studio culture in shaping the education and values of future architects. Overall, this review paper provides a comprehensive account of the studio in architecture education, providing insights into its history, curriculum content, dual nature, learning models, characteristics, users, and culture. By providing a comprehensive overview of the studio in architecture education, this paper offers valuable insights for architects, educators, and policymakers seeking to enhance the quality of architecture education and its impact on the profession.","Architecture Education, Studio, Studio Culture, Studio Learning Model, Studio-Based Learning",Semantic Scholar,https://ijssers.org/single-view/?id=8088&pid=8045 ,10/29/2025,Architecture Education,Malaysia,
29,247611389,A framework for measuring the level of achievement of vocational students competency of architecture education,"Valentinus Lilik Hariyanto, Rihab Wit Daryono, M. Nurtanto",Journal of Technology and Science Education,2022,"The determination of work competence according to industrial needs that are expected by employers of new graduates in the department of architectural engineering in vocational high schools will help graduates to transit smoothly from the academic education environment to the real conditions of the construction industry in the workplace. This research identifies which group of competencies attributes that graduates should have in explaining appropriate competencies according to construction industry standards in Indonesia. The survey was conducted in 47 building construction companies consisting of 56 respondents using a questionnaire method. Multivariate analyses using the CB-SEM method used to validate the evaluation model. The research analysis used quantitative descriptive and factor analysis with the Explanatory Factor Analysis (EFA) and Confirmatory Factor Analysis (CFA) methods. The EFA test shows ten factors so that it consists of 30 items of competency measurement. Overall, the CFA test has met the criteria for the goodness of fit statistics. The results of the study concluded that the instrument developed met good validity and reliability and two model frameworks for measuring the level of achievement of student competence in architectural techniques were feasible to use.","Architectural engineering, Competency achievement, Vocational students, Student’s competency, Explanatory Factor Analysis (EFA), Confirmatory Factor Analysis (CFA)",Semantic Scholar,https://www.semanticscholar.org/reader/26a7a0b27cc35aa81ba778d473c3ed662b1624a4 ,10/29/2025,Architecture Education,Indonesia,
30,273543937,"Generative AI Applications in Architecture, Engineering, and Construction: Trends, Implications for Practice, Education & Imperatives for Upskilling—A Review","D. Onatayo, A. Onososen,  Eniola Onatayo",Architecture,2024,"This study investigates the current landscape of generative AI and LLM applications in architecture, engineering, and construction (AEC), focusing on trends, practical implications, educational strategies, and imperatives for upskilling. Employing a six-stage systematic review sourced from Google Scholar, Scopus and Web of Science, 120 papers were analyzed to provide a comprehensive understanding of the role of these technologies in shaping the future of the AEC industry. By addressing these objectives, the research contributes to enhancing knowledge about the potential impacts of generative AI and LLMs on the AEC industry and provides insights into strategies for leveraging these technologies effectively. This study underscores the transformative impact of AI and advanced technologies on the AEC sector and education. By enhancing learning experiences and optimizing construction processes, AI fosters personalized education and efficient project management. The study’s significance lies in its identification of necessary skills and competencies for professionals, ensuring effective AI integration. Implications include the need for continuous professional development, formal education, and practical training to leverage AI’s potential fully. This paves the way for sustainable, intelligent infrastructure and accessible, adaptive learning environments, driving innovation and efficiency in both fields.","generative AI, LLM, architecture, engineering, construction, trends, practice, education, upskilling",Semantic Scholar,https://www.mdpi.com/2673-8945/4/4/46 ,10/29/2025,Architecture Education,United States,
31,264393306,Art Education and its Impact on Creativity and Critical Thinking Skills: A Review literature,Dickson Lukaka,International journal of arts and humanities,2023,"This study aims to review the literature on art education and its impact on creativity and critical thinking skills. The study examines various sources to understand how art education contributes to the development of these skills and how it can be integrated into traditional educational practices. The study majorly used secondary sources to gather information. The findings suggest that art education enhances creativity and critical thinking by encouraging expressive and cognitive skills. Furthermore, the study highlights the importance of integrating art education into the curriculum to foster creativity and critical thinking skills in students. Overall, this research emphasizes the value of art education in promoting these crucial skills for students' academic and personal growth. In conclusion, this review of literature provides evidence for the positive impact of art education on the development of creativity and critical thinking skills. It underscores the importance of incorporating art education in educational curricula to foster these essential skills in individuals. The findings of this study have implications for policy-makers, educators, and researchers in understanding the potential of art education in promoting creativity and critical thinking in individuals of all ages.",Art Education,Semantic Scholar,https://www.semanticscholar.org/reader/1e4144cf093facc07898154115780793a92de2d2 ,10/29/2025,Art Education,Kenya,
32,265527951,Creative and Critical Entanglements With AI in Art Education,Ye Sul Park,Studies in Art Education,2023,"Since the advent of the postdigital era, technologies have been dramatically transforming human lives, shifting the ways humans communicate, learn, and create. This article aims to envision how entanglements with nonhuman intelligences can unsettle and reshape pedagogical approaches in the field of art education. I argue for the need to reconceptualize relations between humans and artificial intelligence (AI) as collaborative and symbiotic relationships beyond instrumental understandings, which are informed by posthuman perspectives. Reframing human–AI relations will help art educators and researchers not only explore the potential of AI for new inquiry and creativity in art curricula, but also critically examine possible ethical issues for its implementation in art classrooms. By looking at how AI has been explored in new media art projects that intersect emergent intelligences and art pedagogy, I investigate their implications for future art education.","Art Education, Artificial Intelligence,",Semantic Scholar,https://www.tandfonline.com/doi/full/10.1080/00393541.2023.2255084 ,10/29/2025,Art Education,United States,
33,250571942,Artificial intelligence-supported art education: a deep learning-based system for promoting university students’ artwork appreciation and painting outcomes,"Min-Chi Chiu, Gwo-jen Hwang, Fong-Ming Shyu",Interactive Learning Environments,2022,"In a conventional art course, it is important for a teacher to provide feedback and guidance to individual students based on their learning status. However, it is challenging for teachers to provide immediate feedback to students without any aid. The advancement of artificial intelligence (AI) has provided a possible solution to cope with this problem. In this study, a deep learning-based art learning system (DL-ALS) was developed by employing a fine-tuned ResNet50 model for helping students identify and classify artworks. We aimed at cultivating students’ accurate appreciation knowledge and artwork creation competence, as well as providing instant feedback and personalized guidance with the help of AI technology. To explore the effects of this system, a quasi-experiment was implemented in an artwork appreciation course at a university. A total of 46 university students from two classes who took the elective art course were recruited in the study. One class was the experimental group adopting DL-ALS learning, while the other was the control group adopting conventional technology-supported art learning (CT-AL). The results showed that in comparison with CT-AL, learning through the DL-ALS could facilitate students’ learning achievement, technology acceptance, learning attitude, learning motivation, self-efficacy, satisfaction, and performance in the art course.","Art Education, Artificial Intelligence, Outcome-based learning",Semantic Scholar,https://www.tandfonline.com/doi/full/10.1080/10494820.2022.2100426 ,10/29/2025,Art Education,Taiwan,
34,237851544,Modern Art Education and Teaching Based on Artificial Intelligence,"Wen Zhang, A. Shankar, A. Antonidoss",J. Interconnect. Networks ,2021,"The rapid advancement of artificial intelligence has been intensely employed in art teaching and learning. Including the advancement of smart technologies, there are various difficulties in improving the teaching capability of technical art design courses, including the impact of several variables and the absence of quantitative study, and the imperfection in the index system. The paper proposes the Artificial Intelligence assisted Effective Art Teaching Framework (AIEATF) to expand the ability to adapt to AI-oriented art instruction, develop intelligent teaching styles, and enhance AI-oriented art teaching art knowledge and environment. The potential of improving AI’s effects on major art courses’ teaching effect has been illustrated in detail. On this basis, an assessment model has been developed to consider the enhancing effects. The study’s findings include a valuable guide for educators in art design to strengthen their teaching ability. The experimental results have shown that Modern Painting Perfection Ratio is 87.66%, Computer graphical representation ratio is 88.77%, Photographical Design Percentage ratio is 84.50%, Performance of Carving in Sculpture Ratio is 82.26%, Construction Development Ratio is 93.83%, Expressive Musical Performing Ratio is 92.70%, Energized Dance Performance Ratio is 84.26%, and overall performance ratio is 92.30%.","Modern Art Teaching, Artificial Intelligence",Semantic Scholar,https://www.worldscientific.com/doi/10.1142/S021926592141005X ,10/29/2025,Art Education,"China Republic, India",
35,221066848,Entanglement Art Education: Factoring ARTificial Intelligence and Nonhumans Into Future Art Curricula,Nicholas Leonard,Art Education ,2020,"Despite the massive advances in artificial intelligence (AI) alongside the saturation of digital technologies in society, the domain of art education has experienced little change to account for th...","Modern Art Teaching, Artificial Intelligence, Human-nonhuman",Semantic Scholar,https://www.tandfonline.com/doi/full/10.1080/00043125.2020.1746163 ,10/29/2025,Art Education,United States,
36,260012903,"Interview with Chat GPT to Define Architectural Design Studio Work: Possibilities, Conflicts and Limits",E. Çalışkan,Journal of Design Studio,2023,"Design studio forms the backbone of architectural education. It is the first-place students encounter complex design problems that they should understand the context, search for the reasons, structure the demands, and develop creative solutions in the design process. The continuity and integrity of design studios are important, so the instructors have great effort to define and explore the project subjects and themes for each grade to make the environment more productive, creative, and collaborative. The meetings, web and literature surveys, and thoughts and experience of instructors enable the definition of an architectural design studio work. This research is to seek another knowledge source that could have possible contributions to this process. Chat CPT is a newly released artificial intelligence project that people can experience for months. It is a language model the training and learning continue. By the objective of the research, an interview with chat GPT is structured and executed to define and explore possible issues and valuable knowledge for third-year architectural design studio work as a case study. The recordings are presented, and an evaluation survey, Delphi technique among experts, is held to emphasize artificial intelligence's possibilities, conflict, and limits in taking the stakeholder role. Prominent findings are that AI continuously responds and presents important issues for requirements and concepts. It has limits on reaching the maps and conflicts in distinguishing the countries and institutions.","Architectural design education, Defining studio, Artificial intelligence, Chat GPT, Delphi technique",Semantic Scholar,https://www.researchgate.net/publication/372559108_Interview_with_Chat_GPT_to_Define_Architectural_Design_Studio_Work_Possibilities_Conflicts_and_Limits,10/30/2025,Design Studio,Turkey,
37,266369360,The Architectural Design Studio: A Case in the Intersection of the Conventional and the New,"Guliz Ozorhon, Goksu Sarman",Journal of Design Studio,2023,"This study investigated the evolution of the methods and tools used in the architectural design studio. The focus was on the MIM 201 Architectural Design Studio II course, based on a hybrid approach where conventional and new methods are used together. For this reason, the primary data sources of the study are student productions, observations, and comments of studio tutors. While presenting the data in the article, an approach that fragmented the studio was followed instead of a chronological path. Thus, all studio elements were discussed separately, and their potential was demonstrated. The study showed that conventional tools such as context-subject, critiques, and jury are still essential and effective studio components. On the other hand, it was observed that new tools (QD) joining the studio enriched the studio experience, but the potential of some of them (OB) needed to be developed. Study findings also showed that students preferred face-to-face and active communication in the studio. The learning space was one of the most important parts of the process as an atmosphere for student motivation and belonging.",Design Studio,Semantic Scholar,https://dergipark.org.tr/en/pub/journalofdesignstudio/issue/79972/1394851 ,10/30/2025,Design Studio,Turkey,
38,248815757,New Strategies and Practices of Design Education Under the Background of Artificial Intelligence Technology: Online Animation Design Studio,"Tianran Tang, Pengfei Li, Qiheng Tang",Frontiers in Psychology,2022,"This study is based on the background of how artificial intelligence (AI) technology is applied to the field of creativity and design education to improve the design vision, teaching methods, and actual design productivity of practitioners. The purpose of the research is to compare traditional design education and new design education methods combined with AI technology. Taking the Technological Pedagogical Content Knowledge (TPACK) technology integration model as the starting point, a comprehensive evaluation is selected for different types of research to explore the animation design professional courses in design education, the content of students’ perception preferences, and the evaluation of ease of learning so as to conduct research and analyze AI technology. Design new education strategies and practice methods under the background. In the research, a comparative experimental study was conducted on 40 first-year students majoring in animation design. The results show that through online design studio project practice, with personalized project learning guidance, the learning needs of students to show a better trend, and customized learning and project practice content can enhance the learning experience and performance of students. In the future, we can further expand the scope of analysis, include more case studies, and conduct more comprehensive research, including how to deal with the expansion of the platform for students’ learning of design in situations similar to coronavirus disease 2019 (COVID-19) that profoundly affects our lives, and how the project is applied in practice.","artificial intelligence, deep learning, design education, design studio, education strategy; online",Semantic Scholar,https://pubmed.ncbi.nlm.nih.gov/35651576/ ,10/30/2025,Design Studio,Turkey,
39,249726181,Creative Thinking in the Architecture Design Studio: Bibliometric Analysis and Literature Review,"Eundeok Park, Sanghee Lee",Buildings,2022,"It is increasingly important for researchers and educators to find effective ways to stimulate students’ creativity. In design education, the specificity of design, defined as open-ended problems and ill-defined problems, provides a special opportunity to improve creativity. Nevertheless, design education itself encounters other issues concerning creativity, such as not specifying in detail what creative design pedagogy should be. Thus, a comprehensive review of existing studies is needed to guide research in this field better. We used bibliometric analysis to provide information on literature statistics of the 658 articles published in design research–related journals between 1982 and 2022. An in-depth review of the 36 selected articles revealed the existing research on the design studio to investigate creativity from three perspectives: (1) creativity criteria and evaluation, (2) idea generation and development, and (3) pedagogy in the design studio. This study provides a roadmap for global educators and researchers focusing on pedagogy that enhances students’ creativity in the design studio.","creative thinking, design studio, design education, design research, bibliometric",Semantic Scholar,https://www.semanticscholar.org/reader/41ff446257a8f64444c4f50ef239c5dc94d1d506 ,10/30/2025,Design Studio,South Korea,
40,249905935,Long-Term Experience of Teaching Life Cycle Assessment and Circular Design to Future Architects: A Learning by Doing Approach in a Design Studio Setting,"V. Gomes, M. G. da Silva, D. Kowaltowski",Sustainability,2022,"Architects and urbanists help to shape the built environment, which is both highly impactful and indispensable to support the sustainable development of any society. Hence, they must not only have a basic understanding but also be trained to routinely incorporate sustainability checks into their design practice. Published pedagogical experience with teaching life cycle assessment (LCA) in higher education usually covers students with engineering backgrounds, often at the graduate level. No records of regular courses for architecture and urbanism undergraduates were found. After eight years of teaching, and involving 213 students, this paper shares experience and insights gained in the only undergraduate architecture and urbanism course in Brazil openly dedicated to teaching LCA and circular design metrics within the design studio atmosphere. To encourage and inspire other initiatives, the article emphasizes the last four course offers. The current course design is aligned with recent recommendations and international practice. Still, the total workload is insufficient to adequately tackle complex design objects. Students’ final grades across different years show improvements, but actual knowledge retention evaluation requires some post-course follow-up. We confirmed that undergraduate students can successfully apply LCA during design development with compatible additional effort if equipped with adequate tools. An online calculator was developed and is expected to allow expanded design experimentations in future editions.","higher education, architecture and urbanism, life cycle assessment, circular economy, cradle-to-cradle",Semantic Scholar,https://www.mdpi.com/2071-1050/14/12/7355 ,10/30/2025,Design Studio,Brazil,
41,262059527,Reconsidering Design Pedagogy through Diffusion Models,"Selen Çiçek, G. Turhan, Mine Özkar","CuminCAD, eCAADe 2023 proceedings",2023,"The text-to-image based diffusion models are deep learning models that generate images from text-based narratives in user-generated prompts. These models use natural language processing (NLP) techniques to recognize narratives and generate corresponding images. This study associates the assignment-based learning-by-doing of design studio with the prompt-based diffusion models that require fine-tuning in each image generation. The reference is a specific formal education setup developed within the context of compulsory courses in design programs’ curricula. We explore the implications of diffusion models for a model of the basic design studio as a case study. The term basic design implies a core and foundational element of design. To explore and evaluate the potential of AI tools to improve novice designers’ design problem solving capabilities, a retrospective analysis was conducted for a series of basic design studio assignments. The first step of the study was to reframe the assignment briefs as design problems and student design works as design solutions. The outcomes of the identification were further used as input data to generate synthetic design solutions by text-to-image diffusion models. In the third step, the design solution sets generated by students and the diffusion models were comparatively assessed by design experts with regards to how well they answered to the design problems defined in the briefs. The initial findings showed that diffusion models were able to generate a myriad of design solutions in a short time. It is conjectured that this might help students to easily understand the ill-defined design problem requirements and generate visual concepts based on written descriptions. However, the comparison indicated the value of design reasoning conveyed in the studio, as it gets highlighted with the lack of improvement in the learning curve of the diffusion model recorded through the synthetic design process.","Deep Learning, Diffusion Models, Design Education, Basic Design, Design Problems",Semantic Scholar,https://papers.cumincad.org/cgi-bin/works/paper/ecaade2023_266 ,10/30/2025,Design Pedagogy,Turkey,
42,251073097,Uncovering inclusivity gaps in design pedagogy through the digital design marginalization framework,"Jaisie Sin, Cosmin Munteanu, S. Szigeti",Frontiers of Computer Science,2022,"Designers play a key role in the design of inclusive and socially conscious interfaces. Thus, it is imperative for designers to be thoughtful of the ethical and social implications of design. However, gaps in the foundational training that designers receive (e.g., as university students) can negatively impact their ability to consider the social implications of their design practice. This can result in consequences such as digital marginalization, which, as defined by the Digital Design Marginalization (DDM) framework, is the “pushing away”, whether intentional or not, of a defined group of users from a digital or online service or system, where the exclusion has additional, indirect, and long-lasting social consequences on that particular user group. Designers can contribute, even unintentionally, to digital marginalization through their design practices and the design choices they make. We argue that our role as educators includes ensuring not only that our design pedagogy is inclusive, but that the designers we train now are prepared to conduct their future design practice in a manner that is inclusive to all users. As such, we propose to use the Digital Design Marginalization as a lens to guide a reflection-based approach to identify gaps in our pedagogy that may lead to designers becoming ill-equipped to identify how their designs may lead to digital marginalization. Through seven case studies from our own teaching practice, we demonstrate the use of the DDM framework to guide marginalization-focused introspective reflections of curricula. These reflections through the DDM lens revealed gaps in our pedagogy with respect to providing future designers with training that enables them to consider the broader societal and individual implications of the design choices they will make in future practice. Based on our experience using the DDM framework, we then discuss in greater depth how reflection of social consequences of design pedagogy can be operationalized within institutions to reduce educational gaps that may be associated with design-mediated digital marginalization. Finally, we comment on avenues for further development of pedagogical reflection using DDM.","Design, Pedagogy, Digital Design, Framework",Semantic Scholar,https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2022.822090/full ,10/30/2025,Design Pedagogy,Canada,
43,252458165,Boosting computer‐aided design pedagogy using  interactive self‐assessment graphical tools,"P. P. Cerra, Humberto Fernández Álvarez, B. B. Parra, Sofía Castaño Busón ",Computer Applications in Engineering Education,2022,"Computer‐aided design (CAD) tools are essential for any engineer and, thus, many researchers have focused on developing the most suitable method for acquiring CAD competences. In recent years, efforts have been devoted to designing new, innovative and helpful methodologies to improve the CAD pedagogy. The presented research aims at showing the advantages of integrating interactive self‐assessment tools into CAD learning methodologies, such as problem‐based learning (PBL). One hundred and ninety‐one first‐year Mechanical Engineering students participated in the research. They were evenly and randomly divided into two groups: a control group and an experimental group. Students belonging to the control group made use of PBL. The experimental group made use of PBL and a new interactive tool, called TrainCAD, that allows the self‐assessment of 2D‐CAD models designed in AutoCAD. The presented results show that experimental group students have considerably improved their academic performance and increased their motivation on the subject. Therefore, the combination of the two proposed approaches seems to be useful for helping students during the CAD learning process. On the other hand, gender was also a factor that has been analysed, to discern whether it influences the proposed academic learning process (based on the applied CAD pedagogy), concluding that there is no significant influence.","Design Pedagogy, Self Assesment, Interactive Learning",Semantic Scholar,https://onlinelibrary.wiley.com/doi/10.1002/cae.22569 ,10/30/2025,Design Pedagogy,Spain,
44,213420637,Digital Touch: Towards a Novel User-Experience Design Pedagogy.,"V. Mitchell, Garrath T. Wilson, C. Jewitt, K. L. Mackley, L. Golmohammadi, Douglas Atkinson, S. Price",Desing and Technology Education,2020,"HCI and Industrial Design are both disciplines that are currently experiencing radical transformation in terms of their identity and scope. HCI has moved beyond its origins in human factors and cognitive psychology towards the proactive and generative design of experience. Industrial Design has similarly evolved from a concern with physical form and function-giving solutions to the holistic design considerations of the user’s experience. Given the complexity and scale of this shifting design landscape, the response of design education must shift in methods and learning and teaching objectives. This paper provides the Design and Technology Education community with a research case study of innovation within HCI education, here situated within the broader context of Industrial Design education. We present a novel pedagogy for designing digital touch communications, developed through an interdisciplinary collaboration of HCI, Industrial Design, and Social Science academics, and advanced through a coursework assignment for 64 undergraduate Industrial Design and Technology students undertaking a User-Experience Design module at the [AUTHOR] (UK). We discuss the role of low-fidelity experience prototyping of digital touch interactions beyond screens, and the limitations of such an approach when engaged with by novice designers with entrenched material science understanding. We conclude the paper with a call for new educational ‘tools’ to support and scaffold both the learning and teaching of design for digital touch experiences within a User-Experience Design context, and we offer our development of a Designing Digital Touch Toolkit as one such tool.","digital touch, HCI, experience prototype, design pedagogy, user experience, multidisciplinary ",Semantic Scholar,https://www.semanticscholar.org/paper/Digital-Touch%3A-Towards-a-Novel-User-Experience-Mitchell-Wilson/8ee25d6a76c18b243d1f1db4ab9536ecae319fd3 ,10/30/2025,Design Pedagogy,United Kingdom,
45,225300807,Design Pedagogy: The New Architectural Studio and Its Consequences,Peggy Deamer,Architecture_MPS,2020,"This article argues that the typical architectural studio is both outmoded and irresponsible. It is outmoded because it typically is organized around a nineteenth-century model of design virtuosity, and it is irresponsible because it ignores pressing and current spatial justice problems. It also takes to task the aura of the academic setting in which the formally motivated studio reigns supreme. In lieu of this model of architectural education, the article argues for an education that empowers graduates to tackle the major problems that society currently faces: housing, climate, income inequality/unemployment and health. To do this, it acknowledges but suggests overthrowing the many institutional hurdles keeping architectural education attached to the status quo.","architectural studios, the academy, formalism, professionalism, architectural design, architectural theory, professional practice",Semantic Scholar,https://www.semanticscholar.org/reader/2a21ed80be133e712bc6c7ab03cf6319b2375088 ,10/30/2025,Design Pedagogy,United States,
46,247893511,A Game-Based Learning Approach in Digital Design Course to Enhance Students' Competency,"Chrysoula Velaora, Ioannis Dimos, Sofia Tsagiopoulou, A. Kakarountas",Information,2022,"Digital Design is a laboratory course, and the educator must focus on the students’ need to know why they study the theory and mainly on the transition from knowledge-based learning to competency-based learning. This study consists of five surveys that were conducted during 2017–2021. First, we evaluated students’ learning outcomes in order to define possible learning problems. According to the literature, gamification can have a positive impact on students’ motivation and learning outcomes. Therefore, we used ready-made digital games in order to evaluate students’ satisfaction and willingness toward their integration in the educational process. This process was repeated in the next academic year. The feedback we received from the previous surveys has helped us to adapt to the new approaches of teaching due to the current pandemic caused by COVID-19. We proposed an online holistic environment based on Keller’s (1987) ARCS model and Malone’s (1981) motivational model, which was applied in distance learning. Each student participated in a student-centered learning experience. He took an active role and was self-manager of his learning process. He was given the opportunity to develop capabilities and strategies through practice and engagement in higher-order cognitive activities, acquire self-learning skills, learn how to solve problems, and participate in teamwork. This study’s innovation is that students experienced a combination of learning approaches: (a) a virtual lab consisting of simulation-based activities, which allowed students to access new laboratory experiences, (b) a project-based digital game without a processor, which developed their motivation, creativity, and hands-on ability, as opposed to the other relevant studies that use ready-made games, and (c) asynchronous videos as feedback, which ensured the educator’s emotional support and social presence. Finally, this study developed research to evaluate the effectiveness of this online holistic environment and used a questionnaire, which was created based on Keller’s Instructional Materials Motivation Survey tool. The results showed that its integration in distance learning is probable to motivate students to learn and affect positively their attention, relevance, confidence, and satisfaction.","distance education and online learning, games, simulations, media in education, post-secondary education",Semantic Scholar,https://www.mdpi.com/2078-2489/13/4/177 ,11/1/2025,Digital Design,Greece,
47,245223274,Digital Design of Smart Museum Based on Artificial Intelligence,Bin Wang,Mobile Information Systems,2021,"Today, as the soft power of culture is becoming more and more important, it is very important to pay attention to the learning and dissemination of culture. As the carrier of this process, the use of advanced technology to improve the museum is of great significance. This paper studies the digital design of smart museum based on artificial intelligence in order to explore the application of smart museum in artificial intelligence, analyze the spatial design of smart museum by using digital technology, explore a feasible method to give full play to the function of smart museum, and put forward some suggestions on the spatial design of smart museum. The design of the smart museum is no longer restricted by time and space and uses digital technology to double use virtual things and dynamic space. Through the detailed analysis of the application of artificial intelligence and digitization in the spatial design of the smart museum, combined with the information decision tree algorithm and data heterogeneous network algorithm, this study constructs the model of the information processing architecture of smart museum and the requirements of digital museum and makes a decision-making analysis of the comparison results of existing data. It includes the digital design of smart museum display technology, display effect, and other display-related contents. Analyzing the impact of smart museum on the object can provide data support for the feasibility of digital space design of smart museum based on artificial intelligence. The results of regression data processing show that the spatial visual sense of digital design wisdom museum is very strong, reaching the level of 5.0, and the picture aesthetic effect is up to 4.8.","Artificial Intelligence, Museum Design, Design Learning.",Semantic Scholar,https://onlinelibrary.wiley.com/doi/10.1155/2021/4894131 ,11/1/2025,Digital Design,China Republic,
48,233640777,Digital Design in Artistic Education: An Overview of Research in the University Setting,"Mariana-Daniela González-Zamar, E. Abad-Segura",Educational Sciences,2021,"Digital design processes in artistic education promote the development of autonomy and self-critical capacities among students. Digital technology has transformed university education and the development of transversal skills. The objective of this study is to analyze research on digital design in art education in the context of higher education during the period 2000–2020. Bibliometric techniques were applied to 1027 articles selected from the Scopus database. The findings yielded data on the scientific productivity of journals, authors, research institutions and countries/territories that promote this topic. The data show an exponential trend, with more insistence in the last three years. Six current schools of knowledge related to art, level, formation, faculty, perception and relationship were detected. This research establishes the link between education, art and technology in the university context, and it is a tool for decision making by promoters of this field of research.",artistic education; digital art; design; creativity; technology; research,Semantic Scholar,https://www.semanticscholar.org/reader/597503267da4588c423c3912b62adc1d509620ca ,11/1/2025,Digital Design,Spain,
49,236703915,The influence of modern trends in digital art on the content of training in computer graphics and digital design,"K. Osadcha, V. Baluta",Ukrenian Journal of Educational Studies and Information Technology,2021,"The development of digital technologies leads to a variety of pictorial arts. With the advent of computer technology and communication technologies, areas such as computer graphics, computer and digital design, and phenomena such as digital art have emerged. The article analyzes these concepts, which provided an opportunity for further study. Based on the analysis of Internet resources on digital art, the following main trends are identified: virtual art, 3D printing, open source software, art of artificial intelligence, a combination of 2D animation and modern technologies, 3D painting, UX / UI design, game design, concept art and character design. Examples of reflection these tendencies in modern art are given. Given the selected trends, it is shown how they affect the content of training in computer graphics and digital design for students of the educational program ""Digital Design"" (list of compulsory and optional educational components, the content of educational practice). It is noted that to successfully work with computer graphics, students need to master traditional knowledge of pictorial arts (the concept of composition, color, perspective, proportions, shadows) and the ability to use them to create digital products using computer programs (2D graphic editors and 3D graphics) and digital technology (graphics tablet, personal and personal computer, projection equipment, camera, devices for VR and AR reality, scanner and printer, including 3D scanner and 3D printer).","Digital Design, Digital Art, Computer Graphics",Semantic Scholar,https://www.semanticscholar.org/reader/764befd1d18b66b11fbcbefedefdef8097e89a5b ,11/1/2025,Digital Design,Ukraine,
50,209543126,Digital design implications: a comparative study of architecture education curriculum and practices in leading architecture firms,"H. Abdullah, B. Hassanpour",International Journal of Technology and Design Education,2020,"Leading architectural firms in professional practice are expanding their range of design possibilities using digital design strategies. A digital design strategy enables architects to make informed decisions and better handle the interdisciplinary nature of the discipline, while dealing with various complexities, uncertainties and an infinite number of the potential solutions. One of the main responsibilities of architectural education is to educate students on the breadth of professional opportunities and career paths. Therefore, it is highly important to examine the sufficiency of available digital design courses in the architectural education curriculum. To achieve this, the study examines the curriculum of two architectural programs in the Middle East and compares the findings with award-winning architectural firms in international professional practice from a digital design perspective. In the first step, various cutting-edge technology-driven firms were investigated, then three award-winning firms were subsequently selected and studied using a deliberate review. Secondly, the curriculum of each architecture school was reviewed and the responsible instructors were interviewed through a qualitative method of in-depth interviews; the perceptions and suggestions of eight academic staff members from both schools (four each) were recorded to facilitate an assessment of the status of the integrated digital design methodologies in the architecture education of the intended schools. The findings indicate that the current structures of architecture education curricula cannot match the innovative challenges and social demands of architecture in the digital age. The importance of curriculum review, as well as different incorporation alternatives of the digital design applications, are also suggested.","Architecture, Curriculum Studies, Digital Education and Educational Technology, Instructional Design, Landscape Architecture, Technology and Design education",Semantic Scholar,https://link.springer.com/article/10.1007/s10798-019-09560-2 ,11/1/2025,Digital Design,Iraq,
51,269378994,Scaffolding Computational Thinking With ChatGPT,"Jian Liao, Linrong Zhong, Longting Zhe, Handan Xu, Ming Liu, Tao Xie",IEEE Transactions on Learning Technologies,2024,https://www.semanticscholar.org/reader/5bee0b809d751feed07919909d97bbd9732ddf03,"Artificial-intelligence-generated content (AIGC), ChatGPT, computational thinking (CT), scaffolding.",Semantic Scholar,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10508087 ,11/1/2025,Computational Thinking,China Republic,
52,270544077,Methods of using STEAM technologies in the development of pupils’ computational thinking,"Gulbahor Akramova, Bahodir Ma’murov, Surayo Akramova, Rustambek Qo’ldoshev, Abera Shodmonova",E3S Web of Conferences,2024,"Utilizing STEAM (Science, Technology, Engineering, Arts, and Mathematics) technologies is pivotal in nurturing computational thinking skills among pupils. This abstract explores various methodologies for integrating STEAM into educational practices to enhance pupils’ computational thinking abilities. Through coding workshops, robotics clubs, interactive simulations, 3D modeling and printing, data visualization, game design, IoT projects, collaborative initiatives, virtual reality experiences, and artificial intelligence projects, educators can foster critical thinking, problem-solving, and creativity in pupils. These methods encourage hands-on exploration, interdisciplinary collaboration, and real-world application, preparing pupils for success in an increasingly technology-driven world.","STEAM, Computational thinking",Semantic Scholar,https://www.semanticscholar.org/reader/5bee0b809d751feed07919909d97bbd9732ddf03 ,11/1/2025,Computational Thinking,Uzbekistan,
